source,token,owned,proposed,refs,english,bucket,kind
both,LAMarketData,1,AQLMarketData,1200,0,A_convention,class,file
both,LACoreDataService,1,AQLCoreDataService,689,0,A_convention,class,file
both,LAStaticData,1,AQLStaticData,269,0,A_convention,class,file
token,MAScenarioParam,1,AQLScenarioParam,263,0,A_convention,class
both,LARiskConfiguration,1,AQLRiskConfiguration,174,0,A_convention,class,file
both,LAScenarioConfiguration,1,AQLScenarioConfiguration,146,0,A_convention,class,file
token,MAFileAccessor,1,AQLFileAccessor,121,0,A_convention,class
both,LAScenarioConfigurationManager,1,AQLScenarioConfigurationManager,121,0,A_convention,class,file
token,MADealUtils,1,AQLDealUtils,100,0,A_convention,class
both,LAObjectConfiguration,1,AQLObjectConfiguration,82,0,A_convention,class,file
both,LAStaticDataManager,1,AQLStaticDataManager,80,0,A_convention,class,file
token,MARKET_DATA_DELIMITER,0,,80,1,B_acronym,?
both,LACalibrationParameters,1,AQLCalibrationParameters,75,0,A_convention,class,file
both,LACoreThread,1,AQLCoreThread,74,0,A_convention,class,file
both,LARiskConfigurationYieldIRDelta,1,AQLRiskConfigurationYieldIRDelta,73,0,A_convention,class,file
both,LACalibrationParametersManager,1,AQLCalibrationParametersManager,73,0,A_convention,class,file
both,LADefinitions,1,AQLDefinitions,69,0,A_convention,file
both,LADealUtils,1,AQLDealUtils,68,0,A_convention,file
both,LACalibratePool,1,AQLCalibratePool,67,0,A_convention,class,file
both,LARiskConfigurationYieldBasisDelta,1,AQLRiskConfigurationYieldBasisDelta,66,0,A_convention,class,file
token,MACalibrationFunc,1,AQLCalibrationFunc,64,0,A_convention,class
both,LACalibrateModelIR,1,AQLCalibrateModelIR,61,0,A_convention,class,file
both,LARiskConfigurationYieldIRShiftVolIRVega,1,AQLRiskConfigurationYieldIRShiftVolIRVega,56,0,A_convention,class,file
both,LARiskConfigurationVolIRVega,1,AQLRiskConfigurationVolIRVega,56,0,A_convention,class,file
both,LARiskConfigurationYieldIRShiftFXDelta,1,AQLRiskConfigurationYieldIRShiftFXDelta,55,0,A_convention,class,file
both,LARiskConfigurationYield,1,AQLRiskConfigurationYield,55,0,A_convention,class,file
both,LARiskConfigurationYieldIRShiftDelta,1,AQLRiskConfigurationYieldIRShiftDelta,54,0,A_convention,class,file
both,LACalibrate,1,AQLCalibrate,54,0,A_convention,class,file
both,LARiskConfigurationYieldIRShiftVolFXVega,1,AQLRiskConfigurationYieldIRShiftVolFXVega,53,0,A_convention,class,file
both,LARiskConfigurationVolFXVega,1,AQLRiskConfigurationVolFXVega,50,0,A_convention,class,file
both,LACalibrateModel,1,AQLCalibrateModel,50,0,A_convention,class,file
both,LARiskConfigurationFXShiftYieldIRDelta,1,AQLRiskConfigurationFXShiftYieldIRDelta,49,0,A_convention,class,file
both,LARiskConfigurationFXShiftYieldBasisDelta,1,AQLRiskConfigurationFXShiftYieldBasisDelta,49,0,A_convention,class,file
both,LARiskConfigurationFXDeltaEx1,1,AQLRiskConfigurationFXDeltaEx1,47,0,A_convention,class,file
both,LARiskConfigurationFXShiftVolFXVega,1,AQLRiskConfigurationFXShiftVolFXVega,47,0,A_convention,class,file
both,LARiskConfigurationFX,1,AQLRiskConfigurationFX,47,0,A_convention,class,file
both,LADefinitionsCalibration,1,AQLDefinitionsCalibration,46,0,A_convention,file
both,LARiskConfigurationFXShiftDelta,1,AQLRiskConfigurationFXShiftDelta,44,0,A_convention,class,file
both,LAMarketDataLMM,1,AQLMarketDataLMM,44,0,A_convention,class,file
both,LACalibrateModelFX,1,AQLCalibrateModelFX,43,0,A_convention,class,file
both,LACalibrateModelLMM,1,AQLCalibrateModelLMM,42,0,A_convention,class,file
both,LARiskConfigurationYieldBasis,1,AQLRiskConfigurationYieldBasis,42,0,A_convention,class,file
both,LARiskConfigurationYieldDelta,1,AQLRiskConfigurationYieldDelta,41,0,A_convention,class,file
both,LAMultiSwapPricer,1,AQLMultiSwapPricer,41,0,A_convention,class,file
both,LAObjectConfigurationManager,1,AQLObjectConfigurationManager,40,0,A_convention,class,file
both,LARiskConfigurationManager,1,AQLRiskConfigurationManager,40,0,A_convention,class,file
both,LACalibrateModelSZ,1,AQLCalibrateModelSZ,40,0,A_convention,class,file
both,LACalibrateModelHW,1,AQLCalibrateModelHW,39,0,A_convention,class,file
both,LARiskConfigurationVolFXShiftVolFXVega,1,AQLRiskConfigurationVolFXShiftVolFXVega,39,0,A_convention,class,file
both,LACalibrateModelPtberg,1,AQLCalibrateModelPtberg,38,0,A_convention,class,file
both,LARiskConfigurationVolParallel,1,AQLRiskConfigurationVolParallel,37,0,A_convention,class,file
both,LADataInstanceConfigurationPV,1,AQLDataInstanceConfigurationPV,37,0,A_convention,class,file
both,LAMarketDataHW,1,AQLMarketDataHW,37,0,A_convention,class,file
both,LACurveSetup,1,AQLCurveSetup,37,0,A_convention,class,file
