project,old,new,refs,bucket,kind
calibration,LAMarketData,AQLMarketData,1200,A_convention,class
calibration,LACoreDataService,AQLCoreDataService,689,A_convention,class
calibration,LAStaticData,AQLStaticData,269,A_convention,class
calibration,MAScenarioParam,AQLScenarioParam,263,A_convention,class
calibration,LARiskConfiguration,AQLRiskConfiguration,174,A_convention,class
calibration,LAScenarioConfiguration,AQLScenarioConfiguration,146,A_convention,class
calibration,LAScenarioConfigurationManager,AQLScenarioConfigurationManager,121,A_convention,class
calibration,MAFileAccessor,AQLFileAccessor,121,A_convention,class
calibration,MADealUtils,AQLDealUtils,100,A_convention,class
calibration,LAObjectConfiguration,AQLObjectConfiguration,82,A_convention,class
calibration,LAStaticDataManager,AQLStaticDataManager,80,A_convention,class
calibration,LACalibrationParameters,AQLCalibrationParameters,75,A_convention,class
calibration,LACoreThread,AQLCoreThread,74,A_convention,class
calibration,LACalibrationParametersManager,AQLCalibrationParametersManager,73,A_convention,class
calibration,LARiskConfigurationYieldIRDelta,AQLRiskConfigurationYieldIRDelta,73,A_convention,class
calibration,LADefinitions,AQLDefinitions,69,A_convention,file
calibration,LADealUtils,AQLDealUtils,68,A_convention,file
calibration,LACalibratePool,AQLCalibratePool,67,A_convention,class
calibration,LARiskConfigurationYieldBasisDelta,AQLRiskConfigurationYieldBasisDelta,66,A_convention,class
calibration,MACalibrationFunc,AQLCalibrationFunc,64,A_convention,class
calibration,LACalibrateModelIR,AQLCalibrateModelIR,61,A_convention,class
calibration,LARiskConfigurationVolIRVega,AQLRiskConfigurationVolIRVega,56,A_convention,class
calibration,LARiskConfigurationYieldIRShiftVolIRVega,AQLRiskConfigurationYieldIRShiftVolIRVega,56,A_convention,class
calibration,LARiskConfigurationYield,AQLRiskConfigurationYield,55,A_convention,class
calibration,LARiskConfigurationYieldIRShiftFXDelta,AQLRiskConfigurationYieldIRShiftFXDelta,55,A_convention,class
calibration,LACalibrate,AQLCalibrate,54,A_convention,class
calibration,LARiskConfigurationYieldIRShiftDelta,AQLRiskConfigurationYieldIRShiftDelta,54,A_convention,class
calibration,LARiskConfigurationYieldIRShiftVolFXVega,AQLRiskConfigurationYieldIRShiftVolFXVega,53,A_convention,class
calibration,LACalibrateModel,AQLCalibrateModel,50,A_convention,class
calibration,LARiskConfigurationVolFXVega,AQLRiskConfigurationVolFXVega,50,A_convention,class
calibration,LARiskConfigurationFXShiftYieldBasisDelta,AQLRiskConfigurationFXShiftYieldBasisDelta,49,A_convention,class
calibration,LARiskConfigurationFXShiftYieldIRDelta,AQLRiskConfigurationFXShiftYieldIRDelta,49,A_convention,class
calibration,LARiskConfigurationFX,AQLRiskConfigurationFX,47,A_convention,class
calibration,LARiskConfigurationFXDeltaEx1,AQLRiskConfigurationFXDeltaEx1,47,A_convention,class
calibration,LARiskConfigurationFXShiftVolFXVega,AQLRiskConfigurationFXShiftVolFXVega,47,A_convention,class
calibration,LADefinitionsCalibration,AQLDefinitionsCalibration,46,A_convention,file
calibration,LAMarketDataLMM,AQLMarketDataLMM,44,A_convention,class
calibration,LARiskConfigurationFXShiftDelta,AQLRiskConfigurationFXShiftDelta,44,A_convention,class
calibration,LACalibrateModelFX,AQLCalibrateModelFX,43,A_convention,class
calibration,LACalibrateModelLMM,AQLCalibrateModelLMM,42,A_convention,class
calibration,LARiskConfigurationYieldBasis,AQLRiskConfigurationYieldBasis,42,A_convention,class
calibration,LAMultiSwapPricer,AQLMultiSwapPricer,41,A_convention,class
calibration,LARiskConfigurationYieldDelta,AQLRiskConfigurationYieldDelta,41,A_convention,class
calibration,LACalibrateModelSZ,AQLCalibrateModelSZ,40,A_convention,class
calibration,LAObjectConfigurationManager,AQLObjectConfigurationManager,40,A_convention,class
calibration,LARiskConfigurationManager,AQLRiskConfigurationManager,40,A_convention,class
calibration,LACalibrateModelHW,AQLCalibrateModelHW,39,A_convention,class
calibration,LARiskConfigurationVolFXShiftVolFXVega,AQLRiskConfigurationVolFXShiftVolFXVega,39,A_convention,class
calibration,LACalibrateModelPtberg,AQLCalibrateModelPtberg,38,A_convention,class
calibration,LACurveSetup,AQLCurveSetup,37,A_convention,class
calibration,LADataInstanceConfigurationPV,AQLDataInstanceConfigurationPV,37,A_convention,class
calibration,LAMarketDataHW,AQLMarketDataHW,37,A_convention,class
calibration,LAModelConfiguration,AQLModelConfiguration,37,A_convention,class
calibration,LARiskConfigurationVolParallel,AQLRiskConfigurationVolParallel,37,A_convention,class
calibration,MAValuePrinter,AQLValuePrinter,36,A_convention,class
calibration,LACalibrateVolatilityLMM,AQLCalibrateVolatilityLMM,35,A_convention,class
calibration,LACalibrateVolatilityManager,AQLCalibrateVolatilityManager,35,A_convention,class
calibration,LARiskConfigurationTheta,AQLRiskConfigurationTheta,34,A_convention,class
calibration,LACalibrateVolatility,AQLCalibrateVolatility,33,A_convention,class
calibration,LACalibrateVolatilitySZ,AQLCalibrateVolatilitySZ,32,A_convention,class
calibration,LARiskConfigurationCorDelta,AQLRiskConfigurationCorDelta,32,A_convention,class
calibration,LARiskConfigurationFXDelta,AQLRiskConfigurationFXDelta,32,A_convention,class
calibration,LACalibrateModelFXStrangleSolver,AQLCalibrateModelFXStrangleSolver,31,A_convention,class
calibration,LAModelSetupBase,AQLModelSetupBase,31,A_convention,class
calibration,MALogger,AQLLogger,31,A_convention,class
calibration,LACalibrateModelFXVannaVolga,AQLCalibrateModelFXVannaVolga,30,A_convention,class
calibration,LACalibrationParametersPtberg,AQLCalibrationParametersPtberg,30,A_convention,class
calibration,LADefinitionsRisk,AQLDefinitionsRisk,30,A_convention,file
calibration,LACalibrateModelFXVanilla,AQLCalibrateModelFXVanilla,29,A_convention,class
calibration,LACalibrateModelVolFactor,AQLCalibrateModelVolFactor,29,A_convention,class
calibration,LACalibrateVolatilityFXStrangleSolver,AQLCalibrateVolatilityFXStrangleSolver,29,A_convention,class
calibration,LACalibrateVolatilityFXVannaVolga,AQLCalibrateVolatilityFXVannaVolga,29,A_convention,class
calibration,LACalibrateVolatilityHW,AQLCalibrateVolatilityHW,29,A_convention,class
calibration,LACalibrateVolatilityIRSABR,AQLCalibrateVolatilityIRSABR,29,A_convention,class
calibration,LACalibrateVolatilityPtberg,AQLCalibrateVolatilityPtberg,29,A_convention,class
calibration,LAObjectConfigurationVanilla,AQLObjectConfigurationVanilla,29,A_convention,class
calibration,LARiskConfigurationVolSwaptionVega,AQLRiskConfigurationVolSwaptionVega,29,A_convention,class
calibration,LARiskConfigurationVolatility,AQLRiskConfigurationVolatility,29,A_convention,class
calibration,LARiskConfigurationYieldBasisDeltaOptionAnalytic,AQLRiskConfigurationYieldBasisDeltaOptionAnalytic,29,A_convention,class
calibration,LARiskConfigurationYieldIRDeltaOptionAnalytic,AQLRiskConfigurationYieldIRDeltaOptionAnalytic,29,A_convention,class
calibration,MALogManager,AQLLogManager,29,A_convention,class
calibration,MAMasterRegistManager,AQLMasterRegistManager,29,A_convention,class
calibration,MALoggerImpl,AQLLoggerImpl,28,A_convention,class
calibration,LARiskConfigurationCreditSpreadDelta,AQLRiskConfigurationCreditSpreadDelta,27,A_convention,class
calibration,LACalibrateModelIRVanilla,AQLCalibrateModelIRVanilla,26,A_convention,class
calibration,LARiskConfigurationVolFXVegaOptionAnalytic,AQLRiskConfigurationVolFXVegaOptionAnalytic,26,A_convention,class
calibration,LACalibratePtberg,AQLCalibratePtberg,25,A_convention,class
calibration,LACalibrationParametersLMM,AQLCalibrationParametersLMM,25,A_convention,class
calibration,LARiskConfigurationVolCapVega,AQLRiskConfigurationVolCapVega,25,A_convention,class
calibration,LARiskConfigurationVolFXATMParallelVega,AQLRiskConfigurationVolFXATMParallelVega,25,A_convention,class
calibration,LARiskConfigurationFXDeltaOptionAnalytic,AQLRiskConfigurationFXDeltaOptionAnalytic,24,A_convention,class
calibration,LARiskConfigurationFXShiftDeltaOptionAnalytic,AQLRiskConfigurationFXShiftDeltaOptionAnalytic,24,A_convention,class
calibration,LARiskConfigurationThetaOptionAnalytic,AQLRiskConfigurationThetaOptionAnalytic,24,A_convention,class
calibration,LARiskConfigurationYieldIRDeltaGamma,AQLRiskConfigurationYieldIRDeltaGamma,24,A_convention,class
calibration,MAPtbergUtils,AQLPtbergUtils,24,A_convention,class
calibration,LARiskConfigurationFXDeltaGamma,AQLRiskConfigurationFXDeltaGamma,23,A_convention,class
calibration,LARiskConfigurationVolCreatorLMM,AQLRiskConfigurationVolCreatorLMM,23,A_convention,class
calibration,LACalibrationParametersSZ,AQLCalibrationParametersSZ,22,A_convention,class
calibration,LACurveProperties,AQLCurveProperties,22,A_convention,class
