source,token,owned,proposed,refs,english,bucket,kind
both,LADateHelpers,1,AQLDateHelpers,345,0,A_convention,class,file
both,LACurvePricingObject,1,AQLCurvePricingObject,268,0,A_convention,class,file
both,LADateScheduleHelpers,1,AQLDateScheduleHelpers,267,0,A_convention,class,file
both,LACurveForwardRateHelpers,1,AQLCurveForwardRateHelpers,199,0,A_convention,class,file
token,LACurveStaticDataHolder,1,AQLCurveStaticDataHolder,100,0,A_convention,class
token,MARKET_KEY,1,,74,1,B_acronym,namespace
both,LAUpdateStaticDataManager,1,AQLUpdateStaticDataManager,68,0,A_convention,class,file
both,LAUpdateCurveObject,1,AQLUpdateCurveObject,62,0,A_convention,class,file
both,LACurveCalibrationHelpers,1,AQLCurveCalibrationHelpers,49,0,A_convention,class,file
both,LAUpdateObjectPoolForCurves,1,AQLUpdateObjectPoolForCurves,45,0,A_convention,class,file
token,MATURITY_DATE,0,,40,1,B_acronym,?
both,LAObjectPoolBase,1,AQLObjectPoolBase,34,0,A_convention,class,file
token,MARKET_DATA_DELIMITER,0,,29,1,B_acronym,?
token,METHODS,0,,28,1,B_acronym,?
token,MARKETTYPE_BASIS,1,,27,1,B_acronym,macro
both,LACurveMarketDataHelpers,1,AQLCurveMarketDataHelpers,25,0,A_convention,class,file
token,LASTFIXING,0,,18,0,B_acronym,?
token,LASTSTUBDATE,0,,17,0,B_acronym,?
token,MARKETTYPE_SWAP,1,,17,1,B_acronym,macro
token,MARKETTYPE_ZERORATE,1,,16,1,B_acronym,macro
token,MATURITY,0,,16,1,B_acronym,?
token,MAX_LOOP,0,,13,1,D_other,?
token,MANAGER,0,,13,1,B_acronym,?
token,LACurveMarketData,1,AQLCurveMarketData,11,0,A_convention,class
token,LASTSTUBCURVEINDEX,0,,11,0,B_acronym,?
token,MATRIX,0,,10,1,B_acronym,?
token,LAST_COUPON_DATE,0,,10,0,B_acronym,?
token,METHOD,0,,8,1,B_acronym,?
token,MEAN_REVERSION,0,,6,0,B_acronym,?
token,LADates,0,,5,0,A_convention,?
token,LAMathDateFuncUti1ity,0,,5,0,A_convention,?
token,LASTFIXING2,0,,5,0,B_acronym,?
token,MATURITY_MONTH,0,,5,1,B_acronym,?
token,LAMathDateCalcUti1ity,0,,5,0,A_convention,?
token,MARGINAL_DEFAULT_PROBABILITY_HEADER,0,,5,1,B_acronym,?
token,MM_SQRT2,0,,5,0,C_underscore,?
token,LASTFIXING1,0,,5,0,B_acronym,?
token,MARKET_DATA_TYPE,0,,5,1,B_acronym,?
token,MAX_CASHFLOW_COLUMNS,0,,4,1,D_other,?
token,LABEL,0,,4,1,B_acronym,?
token,MARKET_NAME,0,,3,1,B_acronym,?
token,MATURITYDATE,0,,3,1,B_acronym,?
token,LARatePriority,1,AQLRatePriority,3,0,A_convention,class
token,MAXLOOP,0,,3,0,B_acronym,?
both,LAUpdateModelObject,1,AQLUpdateModelObject,3,0,A_convention,file
token,LAMathCurveFuncUti1ity,0,,3,0,A_convention,?
token,LAMathCurveGenerateFuncUti1ity,0,,3,0,A_convention,?
token,MACRO,0,,3,0,B_acronym,?
token,MARKET,0,,3,1,B_acronym,?
token,MARKET_TYPE_BASISSWAP,0,,3,1,B_acronym,?
token,LAStringToDate,0,,2,0,A_convention,?
token,MARKETDATA_PROPERTIES,0,,2,1,B_acronym,?
token,LARule,0,,2,0,A_convention,?
both,LAUpdateObjectPoolForCurvesAndModels,1,AQLUpdateObjectPoolForCurvesAndModels,2,0,A_convention,file
token,LAG_2D,0,,2,0,D_other,?
token,LAG_0D,0,,2,0,D_other,?
token,MMM,0,,2,0,D_other,?
token,MACROS,0,,2,0,B_acronym,?
token,LASTCOUPONDATE,0,,2,0,B_acronym,?
token,LAMathYie1dCurve,0,,2,0,A_convention,?
token,MEANREVERSION,0,,2,0,B_acronym,?
token,MEMBER,0,,2,1,B_acronym,?
token,MM_1_SQRTPI,0,,2,0,C_underscore,?
token,MDate,0,,2,0,D_other,?
token,MAX_SCHEDULE_CASHFLOW_COLUMNS,0,,2,1,D_other,?
token,MEANING,0,,1,0,B_acronym,?
token,MATRIX_STRING,1,,1,1,B_acronym,typedef
token,MARKETDATATYPE,0,,1,1,B_acronym,?
token,MARKETDATAPROPERTIES,0,,1,1,B_acronym,?
token,MMDD,0,,1,0,B_acronym,?
token,MATURITYMONTH,0,,1,1,B_acronym,?
token,LAST,0,,1,1,B_acronym,?
token,MAAppError,0,,1,0,A_convention,?
token,MAX_PATH,0,,1,1,D_other,?
token,MARKETNAME,0,,1,1,B_acronym,?
token,MERSENNE_TWISTER_GENERATOR,0,,1,0,B_acronym,?
token,LAST_Y,0,,1,0,B_acronym,?
token,MAStaticDataLoaded,0,,1,0,A_convention,?
token,LAStrings,0,,1,0,A_convention,?
token,MMSplineinterpolation,0,,1,0,A_convention,?
token,LAMBDA_,0,,1,0,B_acronym,?
token,MARKED,0,,1,0,B_acronym,?
token,LAMathYiel1Curve,0,,1,0,A_convention,?
