old,new,refs,disposition
LAString,AQLString,1130,RENAME
LAPriceDataType,AQLPriceDataType,437,RENAME
LAFunctionBase,AQLFunctionBase,402,RENAME
LADate,AQLDate,329,RENAME
LACoreInvalidData,AQLCoreInvalidData,322,RENAME
LAMath,AQLMath,316,RENAME
LAMatrix,AQLMatrix,227,RENAME
LAObject,AQLObject,174,RENAME
LACoreFunctionBase,AQLCoreFunctionBase,169,RENAME
LACoreSystemError,AQLCoreSystemError,158,RENAME
LARandBase,AQLRandBase,141,RENAME
LAObjectHolder,AQLObjectHolder,139,RENAME
LADataHolder,AQLDataHolder,128,RENAME
LADataInstance,AQLDataInstance,124,RENAME
LAInterpolationBase,AQLInterpolationBase,105,RENAME
LACoreError,AQLCoreError,95,RENAME
LACoreNumericalError,AQLCoreNumericalError,93,RENAME
LAMathCalendar,AQLMathCalendar,89,RENAME
LACoreAppError,AQLCoreAppError,80,RENAME
LADateTime,AQLDateTime,78,RENAME
LADataValuation,AQLDataValuation,77,RENAME
LA1DIntegral,AQL1DIntegral,69,RENAME
LAStringVector,AQLStringVector,64,RENAME
LACombinationMethod,AQLCombinationMethod,63,RENAME
LACoreFunctionHolder,AQLCoreFunctionHolder,62,RENAME
LAIntegralBase,AQLIntegralBase,58,RENAME
LADataProcedure,AQLDataProcedure,57,RENAME
LACoreTemplateType,AQLCoreTemplateType,53,RENAME
LAPriceDataConvention,AQLPriceDataConvention,53,RENAME
LADataStrings,AQLDataStrings,50,RENAME
LAPriceDataFunction,AQLPriceDataFunction,50,RENAME
LAPriceDataRand,AQLPriceDataRand,50,RENAME
LAMatrixData,AQLMatrixData,49,RENAME
LAPriceDataInterpolation,AQLPriceDataInterpolation,49,RENAME
LADataDates,AQLDataDates,47,RENAME
LADataString,AQLDataString,47,RENAME
LALinearInterpolation,AQLLinearInterpolation,47,RENAME
LAPriceDataFunctions,AQLPriceDataFunctions,47,RENAME
LADataBools,AQLDataBools,46,RENAME
LAPriceDataCalendar,AQLPriceDataCalendar,46,RENAME
LADataDateTimes,AQLDataDateTimes,45,RENAME
LAMathObjectValue,AQLMathObjectValue,45,RENAME
LAPriceDataDayCount,AQLPriceDataDayCount,45,RENAME
LADataBoolMatrix,AQLDataBoolMatrix,43,RENAME
LADataDoubleMatrix,AQLDataDoubleMatrix,43,RENAME
LADataDoubles,AQLDataDoubles,42,RENAME
LADataProvider,AQLDataProvider,42,RENAME
