old,new,refs,bucket,kind
MVReplication,AQLReplication,36,A_convention,class
MVSABRSwaptionCalculator,AQLSABRSwaptionCalculator,17,B_acronym,class
MVVIntegrand,AQLVIntegrand,9,B_acronym,class
MVReplicationIntegrand,AQLReplicationIntegrand,9,A_convention,class
MMCFvegaCall,AQLCFvegaCall,8,B_acronym,class
MVBenaimSABRSwaptionCalculator,AQLBenaimSABRSwaptionCalculator,8,A_convention,class
MMCFpremPut,AQLCFpremPut,8,B_acronym,class
MMCFpremCall,AQLCFpremCall,8,B_acronym,class
MMCFvegaPut,AQLCFvegaPut,8,B_acronym,class
MMHWQAdjInnerFunc3,AQLHWQAdjInnerFunc3,7,B_acronym,class
MMSBprobDNT,AQLSBprobDNT,7,B_acronym,class
MVFlatSABRSwaptionCalculator,AQLFlatSABRSwaptionCalculator,7,A_convention,class
MMZeroForError,AQLZeroForError,7,A_convention,class
MMHWQAdjInnerFunc1,AQLHWQAdjInnerFunc1,7,B_acronym,class
MMHWQAdjInnerFunc2,AQLHWQAdjInnerFunc2,7,B_acronym,class
MMSBprobUNT,AQLSBprobUNT,7,B_acronym,class
MVThresholdSABRSwaptionCalculator,AQLThresholdSABRSwaptionCalculator,6,A_convention,class
MFParameterMatrix,AQLParameterMatrix,6,A_convention,class
MMDGthetaPut,AQLDGthetaPut,5,B_acronym,class
MMSBrhoDIC,AQLSBrhoDIC,5,B_acronym,class
MMSBpremUIC,AQLSBpremUIC,5,B_acronym,class
MMFDdeltaPutSpot,AQLFDdeltaPutSpot,5,B_acronym,class
MMSBphiDOC,AQLSBphiDOC,5,B_acronym,class
MMFDdeltaCallFwd,AQLFDdeltaCallFwd,5,B_acronym,class
MMSBthetaDIP,AQLSBthetaDIP,5,B_acronym,class
MMDGgammaCall,AQLDGgammaCall,5,B_acronym,class
MMFD1stDiffCallSpot,AQLFD1stDiffCallSpot,5,B_acronym,class
MMSBrhoUIP,AQLSBrhoUIP,5,B_acronym,class
MMSBrhoUOC,AQLSBrhoUOC,5,B_acronym,class
MMDGrhoPut,AQLDGrhoPut,5,B_acronym,class
MMSBvegaUIP,AQLSBvegaUIP,5,B_acronym,class
MMDGrhoCall,AQLDGrhoCall,5,B_acronym,class
MMSBthetaDIC,AQLSBthetaDIC,5,B_acronym,class
MMDGgammaPut,AQLDGgammaPut,5,B_acronym,class
MMDGphiPut,AQLDGphiPut,5,B_acronym,class
MMSBphiUOP,AQLSBphiUOP,5,B_acronym,class
MMDGthetaCall,AQLDGthetaCall,5,B_acronym,class
MMSBvegaUOP,AQLSBvegaUOP,5,B_acronym,class
MVCurveWrap,AQLCurveWrap,5,A_convention,class
MMSBgammaDIC,AQLSBgammaDIC,5,B_acronym,class
MMSBgammaDOC,AQLSBgammaDOC,5,B_acronym,class
MMSBvegaUIC,AQLSBvegaUIC,5,B_acronym,class
MMSBrhoDIP,AQLSBrhoDIP,5,B_acronym,class
MMSBphiDIP,AQLSBphiDIP,5,B_acronym,class
MMSBpremUOC,AQLSBpremUOC,5,B_acronym,class
MMAFFpremPut,AQLAFFpremPut,5,B_acronym,class
MMSBthetaDOP,AQLSBthetaDOP,5,B_acronym,class
MMSBgammaUIP,AQLSBgammaUIP,5,B_acronym,class
MMSBthetaDOC,AQLSBthetaDOC,5,B_acronym,class
MMSBdeltaUOP,AQLSBdeltaUOP,5,B_acronym,class
MMDBpremRL,AQLDBpremRL,5,B_acronym,class
MMSBrhoDOP,AQLSBrhoDOP,5,B_acronym,class
MMSBgammaDIP,AQLSBgammaDIP,5,B_acronym,class
MMSBpremUIP,AQLSBpremUIP,5,B_acronym,class
MMSBpremDIP,AQLSBpremDIP,5,B_acronym,class
MMFD1stDiffCallFwd,AQLFD1stDiffCallFwd,5,B_acronym,class
MMSBvegaDIC,AQLSBvegaDIC,5,B_acronym,class
MMDBpremRH,AQLDBpremRH,5,B_acronym,class
MMSBgammaUIC,AQLSBgammaUIC,5,B_acronym,class
MMDBpremKOC,AQLDBpremKOC,5,B_acronym,class
MMSBdeltaDIC,AQLSBdeltaDIC,5,B_acronym,class
MMSBpremUOP,AQLSBpremUOP,5,B_acronym,class
MMSBphiUIP,AQLSBphiUIP,5,B_acronym,class
MMFD1stDiffPutSpot,AQLFD1stDiffPutSpot,5,B_acronym,class
MMDGvegaPut,AQLDGvegaPut,5,B_acronym,class
MMDBpremKIP,AQLDBpremKIP,5,B_acronym,class
MMSBvegaDIP,AQLSBvegaDIP,5,B_acronym,class
MMSBphiDOP,AQLSBphiDOP,5,B_acronym,class
MMDGvegaCall,AQLDGvegaCall,5,B_acronym,class
MMSBvegaDOP,AQLSBvegaDOP,5,B_acronym,class
MMSBdeltaDIP,AQLSBdeltaDIP,5,B_acronym,class
MMSBdeltaUIC,AQLSBdeltaUIC,5,B_acronym,class
MMDBpremRI,AQLDBpremRI,5,B_acronym,class
MMDGpremCall,AQLDGpremCall,5,B_acronym,class
MMDGpremPut,AQLDGpremPut,5,B_acronym,class
MMDGdeltaCall,AQLDGdeltaCall,5,B_acronym,class
MMFD2ndDiffCallFwd,AQLFD2ndDiffCallFwd,5,B_acronym,class
MMSBdeltaDOP,AQLSBdeltaDOP,5,B_acronym,class
MMSBgammaUOP,AQLSBgammaUOP,5,B_acronym,class
MMDBpremKOP,AQLDBpremKOP,5,B_acronym,class
MMSBrhoUIC,AQLSBrhoUIC,5,B_acronym,class
MMSBthetaUOP,AQLSBthetaUOP,5,B_acronym,class
MMSBvegaUOC,AQLSBvegaUOC,5,B_acronym,class
MMSBrhoDOC,AQLSBrhoDOC,5,B_acronym,class
MMSBthetaUIP,AQLSBthetaUIP,5,B_acronym,class
MMSBphiDIC,AQLSBphiDIC,5,B_acronym,class
MMAFFpremCall,AQLAFFpremCall,5,B_acronym,class
MMSBdeltaUOC,AQLSBdeltaUOC,5,B_acronym,class
MMSBphiUIC,AQLSBphiUIC,5,B_acronym,class
MMDGdeltaPut,AQLDGdeltaPut,5,B_acronym,class
MMFDdeltaPutFwd,AQLFDdeltaPutFwd,5,B_acronym,class
MMSBdeltaDOC,AQLSBdeltaDOC,5,B_acronym,class
MMSBrhoUOP,AQLSBrhoUOP,5,B_acronym,class
MMDGphiCall,AQLDGphiCall,5,B_acronym,class
MMSBgammaUOC,AQLSBgammaUOC,5,B_acronym,class
MMSBpremDOC,AQLSBpremDOC,5,B_acronym,class
MMFD1stDiffPutFwd,AQLFD1stDiffPutFwd,5,B_acronym,class
MMSBpremDIC,AQLSBpremDIC,5,B_acronym,class
MMDBpremKIC,AQLDBpremKIC,5,B_acronym,class
MMFDdeltaCallSpot,AQLFDdeltaCallSpot,5,B_acronym,class
MMSBphiUOC,AQLSBphiUOC,5,B_acronym,class
MMSBdeltaUIP,AQLSBdeltaUIP,5,B_acronym,class
MMSBvegaDOC,AQLSBvegaDOC,5,B_acronym,class
MMFD2ndDiffCallSpot,AQLFD2ndDiffCallSpot,5,B_acronym,class
MMSBthetaUIC,AQLSBthetaUIC,5,B_acronym,class
MMSBthetaUOC,AQLSBthetaUOC,5,B_acronym,class
MMSBpremDOP,AQLSBpremDOP,5,B_acronym,class
MMSBgammaDOP,AQLSBgammaDOP,5,B_acronym,class
MMDigitalAnalyticFormula,AQLDigitalAnalyticFormula,3,A_convention,class
MMContainer_h,AQLContainer_h,2,A_convention,macro
MVSABRSwaptionCalculator_h,AQLSABRSwaptionCalculator_h,2,B_acronym,macro
MVFlatSABRSwaptionCalculator_h,AQLFlatSABRSwaptionCalculator_h,2,A_convention,macro
MFParameterUtility_h,AQLParameterUtility_h,2,A_convention,macro
MVThresholdSABRSwaptionCalculator_h,AQLThresholdSABRSwaptionCalculator_h,2,A_convention,macro
MVBenaimSABRSwaptionCalculator_h,AQLBenaimSABRSwaptionCalculator_h,2,A_convention,macro
MVReplication_h,AQLReplication_h,2,A_convention,macro
MMAnalyticFormula_h,AQLAnalyticFormula_h,2,A_convention,macro
