old_name,old_file,name_stub,validation_wrapper_called,proposed_new_category,keep_drop_merge,notes
mirGetParRateFromDates,LAXL.cpp,,,,,
mirGetRate,LAXL.cpp,,,,,
mirGetCurveGenerateTime,LAXL.cpp,,,,,
mirCurveGenerate,LAXL.cpp,,,,,
mirSetUpBasisCurveFromMarket,LAXL.cpp,,,,,
mirSetUpCurve,LAXL.cpp,,,,,
mirSetUpCurve2,LAXL.cpp,,,,,
mirSetUpCurve3,LAXL.cpp,,,,,
mirSetUpBasisCurve,LAXL.cpp,,,,,
mirSetUpBasisCurve2,LAXL.cpp,,,,,
mirSetUpBasisCurve3,LAXL.cpp,,,,,
mirSetUpArbFreeCurveFromMarket,LAXL.cpp,,,,,
mirSetUpForecastCurve,LAXL.cpp,,,,,
mirSetUpForecastCurveFromMarket,LAXL.cpp,,,,,
mirSetUpCtdDFCurve,LAXL.cpp,,,,,
mirOutPutCurve,LAXL.cpp,,tryMirOutputCurve,,,
mirOutPutCurve2,LAXL.cpp,,,,,
mirOutPutForecastCurve,LAXL.cpp,,,,,
mirGetBasisSwapValue,LAXL.cpp,,,,,
mirGetParRate1,LAXL.cpp,,,,,
mirGetParRate2,LAXL.cpp,,,,,
mirGetParRate3,LAXL.cpp,,,,,
mirGetForwardRate3,LAXL.cpp,,,,,
mirGetForwardRate2,LAXL.cpp,,,,,
mirGetForwardRate1,LAXL.cpp,,,,,
mirGetZeroRate2,LAXL.cpp,,,,,
mirGetZeroRate1,LAXL.cpp,,,,,
mirGetDF5,LAXL.cpp,,tryMirGetDF5,,,
mirGetDF4,LAXL.cpp,,,,,
mirGetDF3,LAXL.cpp,,,,,
mirGetDF2,LAXL.cpp,,tryMirGetDF2,,,
mirGetDF1,LAXL.cpp,,tryMirGetDF1,,,
mirGetAnnuity1,LAXL.cpp,,,,,
mirGetAnnuity2,LAXL.cpp,,,,,
mirBkOption,LAXL.cpp,,,,,
mirBkOptionDF,LAXL.cpp,,,,,
mirBkOptionIV,LAXL.cpp,,,,,
mirCapflooroption1,LAXL.cpp,,,,,
mircaplet1,LAXL.cpp,,,,,
mircaplet2,LAXL.cpp,,,,,
mirCaplet3,LAXL.cpp,,,,,
mirCapletVol,LAXL.cpp,,,,,
mircapfloorletoption1,LAXL.cpp,,,,,
mirCapflooroptionVol,LAXL.cpp,,,,,
mirJPYswaption,LAXL.cpp,,,,,
mirSwaption1,LAXL.cpp,,,,,
mirSwaption2,LAXL.cpp,,,,,
mirSwaptionVol,LAXL.cpp,,,,,
mirGkOption,LAXL.cpp,,,,,
mirGkOptionIV,LAXL.cpp,,,,,
mirDigitalOption,LAXL.cpp,,,,,
mirSingleBarrierOption,LAXL.cpp,,,,,
mirSingleBarrierOptionEasily,LAXL.cpp,,,,,
mirDoubleBarrierOption,LAXL.cpp,,,,,
mirCalcStrikeFromDelta,LAXL.cpp,,,,,
mirCalcStrikeFromDelta2,LAXL.cpp,,,,,
mirCalcStrikeFromDelta3,LAXL.cpp,,,,,
mirCalcDates,LAXL.cpp,,,,,
mirGetDateFromTerm,LAXL.cpp,,,,,
mirGetTermFromDay,LAXL.cpp,,,,,
mirGetDayFromTerm,LAXL.cpp,,,,,
mirGetTerm,LAXL.cpp,,,,,
mirGetBusinessDays,LAXL.cpp,,,,,
mirGetDate,LAXL.cpp,,,,,
mirGetDateWithRoll,LAXL.cpp,,,,,
mirInterpolation,LAXL.cpp,,,,,
mirMonotoneConvex,LAXL.cpp,,,,,
mirLinear,LAXL.cpp,,,,,
mirSpline,LAXL.cpp,,,,,
mirStep,LAXL.cpp,,,,,
mirStringValue,LAXL.cpp,,,,,
mirSerialValue,LAXL.cpp,,,,,
mirGetEntityPoolName,LAXL.cpp,,,,,
mirXlDumpMemory,LAXL.cpp,,,,,
mirClearEntityPool,LAXL.cpp,,,,,
mirGetGridRate,LAXL.cpp,,,,,
mirGetInfo,LAXL.cpp,,,,,
mirSetupFXVolObject,LAXL.cpp,,,,,
mirGetValueFromFXVolObject,LAXL.cpp,,,,,
mirGetSpotFXFromFXVolObject,LAXL.cpp,,,,,
mirGetHeston,LAXL.cpp,,,,,
mirGetHestonImplVol,LAXL.cpp,,,,,
mirSetEntity,LAXL.cpp,,,,,
mirGetAttribute,LAXL.cpp,,,,,
mirSetUpConvention,LAXL.cpp,,,,,
mirSetupSABRGrid,LAXL.cpp,,,,,
mirLookUpSwapGrid,LAXL.cpp,,,,,
mirOutPutSABRGrid,LAXL.cpp,,,,,
mirSetUpSwaptionVol,LAXL.cpp,,,,,
mirCalibrateSABRMatrix,LAXL.cpp,,,,,
mirCalibrateSABRMatrixATMFix,LAXL.cpp,,,,,
mirCalibrateSABR,LAXL.cpp,,,,,
mirGetSABRVol,LAXL.cpp,,,,,
mirGetSABRVol2,LAXL.cpp,,,,,
