AdB,AeB,AmB,AnB,AtB,AuB,BAB,BMA,BRV,BbB,BcB,BdB,BeB,BfB,BkB,BkS,BmB,BmS,BoB,BrB,BtB,BxB,CBT,CMF,CMM,Ced,ChS,CnB,CoB,DEL,DbB,DoB,DrB,DuB,Ecl,FrB,FrS,GTB,GeB,HKB,HKS,HaB,HaS,HeB,HmB,HoB,IsB,IvB,JaB,JaS,JoB,KLB,KLS,KdQ,LIF,LaB,LbB,LmB,LnB,LsB,LxB,MCV,MdB,MeB,MiB,MnB,MnS,MoB,MwB,MxB,NBR,NSS,NYB,NYM,NYO,NYS,Ndq,OSA,OsB,PCB,PaB,PeB,PfS,PrB,RJB,RTB,RiB,RkB,RmB,SOF,SOM,SON,SPB,SaB,SeB,SeS,ShB,SiB,SiS,SoB,StB,SxB,SyB,SyF,SyS,SzB,TYO,Tgt,TkB,TpB,TpS,TrB,ViB,WaB,WeB,WeS,XBR,ZaB,ZuB
20150101,20070101,20020101,20120423,20020101,20040101,20020101,20150101,20200101,20130101,20020101,20050314,20070101,20180115,20020101,20150101,20020126,20150126,20060109,20020101,20050106,20130101,20150101,20150101,20200101,20040101,20150101,20150101,20020101,20140101,20120101,20180213,20150101,20020101,20040101,20020101,20190101,20150101,20040101,20020101,20140101,20150101,20150101,20020101,20050103,20150101,20060110,20190101,20070101,20150101,20020101,20020101,20150101,20150101,20150101,20130101,20060102,20060413,20020101,20020101,20040101,20200101,20020101,20040101,20020101,20020101,20150101,20040101,20020101,20060206,20130101,20150101,20020101,20150101,20180101,20140101,20140101,20150101,20020101,20180101,20020101,20150101,20200101,20050328,20130101,20150101,20090917,20080101,20150101,20150101,20150101,20150101,20060125,20060414,20040101,20150101,20140101,20020101,20150101,20060102,20020101,20130101,20020101,20150101,20190101,20150101,20150921,20020101,20020101,20060130,20150101,20020101,20020101,20050328,20020101,20150101,20150101,20060106,20020101
20150126,20070120,20020329,20120501,20020318,20040102,20020204,20150119,20200120,20130128,20020102,20050315,20070102,20180126,20020226,20150102,20020223,20150217,20060320,20020329,20050325,20130211,20150119,20150119,20200120,20061225,20150119,20150126,20020328,20140120,20120204,20180304,20150126,20020318,20061225,20020329,20190419,20150126,20040102,20020212,20140131,20150102,20150102,20020329,20050325,20150126,20060111,20190422,20070319,20150219,20020321,20020201,20150202,20150218,20150403,20130124,20060208,20060414,20020329,20020212,20040409,20200120,20020107,20040126,20020401,20020225,20150102,20040102,20020102,20060321,20130211,20150126,20020121,20150119,20180115,20140120,20140120,20150102,20020328,20180109,20020329,20150126,20200120,20050705,20130211,20150302,20090919,20080102,20150106,20150403,20150403,20150403,20060227,20060501,20040121,20150218,20140131,20020212,20150219,20060303,20020329,20130329,20020128,20150126,20190128,20150403,20150922,20020329,20020102,20060131,20150102,20020329,20020401,20050503,20020102,20150102,20150216,20060417,20020102
20150309,20070331,20020401,20120820,20020325,20040126,20020205,20150216,20200217,20130329,20020501,20050328,20070103,20180213,20020408,20150304,20020312,20150306,20060413,20020401,20050328,20130212,20150216,20150216,20200217,20070101,20150216,20150309,20020329,20140418,20120617,20180617,20150403,20020329,20070101,20020401,20190422,20150218,20040409,20020213,20140203,20150216,20150216,20020401,20050524,20150209,20060112,20190501,20070406,20150403,20020329,20020212,20150203,20150219,20150406,20130201,20060417,20060501,20020401,20020329,20040412,20200203,20020319,20040308,20020425,20020328,20150115,20040409,20020107,20060413,20130212,20150403,20020218,20150216,20180219,20140217,20140217,20150112,20020329,20180212,20020401,20150302,20200217,20050706,20130212,20150309,20090920,20080320,20150406,20150406,20150406,20150406,20060228,20060612,20040122,20150219,20140203,20020213,20150220,20060424,20020401,20130401,20020329,20150403,20190419,20150406,20150923,20020401,20020103,20060201,20150216,20020520,20020501,20050526,20020121,20150206,20150217,20060501,20020329
20150403,20071013,20020430,20120821,20020503,20040206,20020328,20150525,20200224,20130401,20020502,20050516,20070219,20180329,20020415,20150406,20020325,20150402,20060414,20020501,20050705,20130329,20150525,20150403,20200410,20071225,20150403,20150403,20020401,20140526,20120819,20180618,20150406,20020401,20071225,20020501,20190501,20150403,20040412,20020214,20140418,20150217,20150217,20020501,20050613,20150309,20060113,20190530,20070517,20150501,20020401,20020213,20150219,20150220,20150504,20130211,20060427,20060629,20020506,20020425,20040520,20200217,20020328,20040409,20020501,20020329,20150116,20040524,20020225,20060414,20130329,20150406,20020527,20150403,20180330,20140418,20140418,20150211,20020401,20180213,20020501,20150403,20200410,20050928,20130329,20150403,20090921,20080321,20150501,20150501,20150501,20150501,20060414,20060626,20040123,20150220,20140204,20020223,20150403,20060501,20020501,20130501,20020401,20150406,20190422,20150504,20160321,20020501,20020114,20060202,20150217,20020701,20020509,20050815,20020206,20150403,20150403,20060615,20020401
20150406,20071202,20020509,20120830,20020506,20040409,20020329,20150703,20200225,20130425,20020503,20051031,20070220,20180330,20020416,20150413,20020329,20150403,20060501,20020509,20050829,20130501,20150703,20150525,20200525,20080101,20150525,20150406,20020426,20140704,20120820,20180619,20150504,20020506,20080101,20020509,20190610,20150406,20040520,20020329,20140421,20150218,20150218,20020509,20050728,20150403,20060519,20190604,20070601,20150514,20020501,20020223,20150220,20150501,20150525,20130212,20060501,20060728,20020603,20020501,20040531,20200316,20020329,20040412,20020815,20020408,20150219,20040624,20020308,20060501,20130501,20150608,20020704,20150525,20180528,20140526,20140526,20150429,20020501,20180214,20020508,20150406,20200525,20051028,20130423,20150406,20090922,20080324,20150602,20150525,20150525,20150525,20060421,20060815,20040301,20150501,20140205,20020329,20150501,20060524,20020509,20130509,20020425,20150608,20190425,20150525,20170320,20021225,20020211,20060228,20150218,20020805,20020520,20051101,20020329,20150406,20150421,20060622,20020501
20150608,20071218,20020520,20121025,20020507,20040412,20020401,20150907,20200410,20130610,20020506,20051101,20070221,20180402,20020501,20150414,20020401,20150414,20060529,20020510,20050901,20130530,20150907,20150703,20200703,20081225,20150703,20150608,20020509,20140901,20120821,20180820,20150608,20020603,20081225,20020520,20191003,20150518,20040531,20020401,20140501,20150219,20150219,20020621,20050729,20150406,20060830,20190610,20070817,20150602,20020617,20020315,20150501,20150505,20150831,20130501,20060502,20060830,20020604,20020530,20040623,20200409,20020501,20040614,20021101,20020501,20150402,20040701,20020501,20061102,20130530,20151225,20020902,20150703,20180704,20140704,20140704,20150504,20020509,20180330,20020509,20150427,20200703,20051117,20130501,20150525,20090923,20080424,20150629,20151224,20151224,20151224,20060501,20060918,20040405,20150505,20140206,20020501,20150601,20060906,20020520,20130520,20020610,20151225,20190610,20150831,20200320,20021226,20020321,20060405,20150219,20020902,20020530,20051111,20020401,20150427,20150501,20060815,20020509
20151005,20071219,20021225,20121026,20020624,20040607,20020422,20151012,20200421,20130814,20021225,20051226,20070222,20180418,20020506,20150415,20020413,20150501,20060619,20020520,20050915,20131115,20151012,20150907,20200907,20090101,20150907,20150803,20020520,20141104,20121025,20180821,20150724,20020805,20090101,20020530,20191224,20150615,20040909,20020405,20140506,20150220,20150220,20021206,20050905,20150407,20061023,20190807,20071012,20150716,20020809,20020425,20150504,20150525,20151225,20130524,20060815,20061101,20020826,20020610,20041101,20200410,20020502,20041102,20021225,20020612,20150403,20040906,20020502,20061120,20131115,20151228,20021014,20150907,20180903,20140901,20140901,20150505,20020517,20180501,20020520,20150601,20200907,20051226,20130530,20150629,20090924,20080501,20151208,20151225,20151225,20151225,20060615,20060919,20040415,20150525,20140407,20020527,20150717,20060922,20020621,20130530,20020805,20151228,20191225,20151225,20200921,20030101,20020429,20060501,20150220,20021014,20020815,20051226,20020425,20150601,20150604,20061101,20020520
20151225,20071220,20021226,20121029,20020815,20041025,20020423,20151111,20200501,20131007,20021226,20060315,20070223,20180501,20020527,20150501,20020425,20150917,20060626,20020815,20051101,20131225,20151111,20151126,20201126,20091225,20151126,20150928,20020605,20141111,20121027,20180822,20150803,20021028,20091225,20021003,20191225,20150706,20041231,20020501,20140602,20150223,20150223,20021224,20051111,20150608,20061024,20190812,20071015,20150717,20020924,20020501,20150717,20150814,20151228,20130530,20061031,20061208,20021225,20020613,20050325,20200501,20020515,20041227,20021226,20020715,20150409,20041011,20020503,20061201,20131225,20160101,20021111,20151126,20181122,20141127,20141127,20150506,20020520,20181105,20020815,20150928,20201126,20060417,20131115,20150803,20091126,20080512,20151225,20151231,20151231,20151231,20060907,20061009,20040505,20150814,20140501,20020809,20150807,20061225,20021224,20131003,20021007,20160101,20191226,20151228,20200922,20030418,20020503,20060531,20150223,20021111,20021101,20060417,20020603,20151026,20150907,20061225,20020801
20151228,20080101,20030101,20130101,20021028,20041227,20020424,20151126,20200525,20131225,20021231,20060417,20070501,20180616,20020701,20150504,20020501,20150925,20060703,20021101,20051117,20131231,20151126,20151225,20201225,20100101,20151225,20151005,20021224,20141127,20121028,20180823,20151225,20021225,20100101,20021224,20191226,20151109,20050325,20020520,20140701,20150428,20150428,20021225,20051226,20151022,20061025,20190815,20071016,20150720,20021216,20020525,20150831,20150928,20160101,20130531,20061101,20061225,20021226,20020815,20050328,20200525,20020815,20041228,20030101,20021031,20150501,20041111,20020509,20061212,20140101,20160126,20021128,20151225,20181225,20141225,20141225,20150720,20021224,20181128,20021101,20151225,20201225,20060501,20131120,20150804,20091128,20080617,20160101,20160101,20160101,20160101,20061012,20061101,20040526,20150928,20140502,20021104,20150810,20061226,20021225,20131101,20021225,20160126,20200101,20160101,20210920,20030421,20020506,20061006,20150227,20021225,20021224,20060501,20021028,20151225,20151012,20061226,20021225
20160101,20080110,20030418,20130423,20021225,20041228,20020425,20151225,20200611,20131226,20030101,20060501,20070502,20180815,20020725,20150505,20020525,20151002,20060720,20021111,20051226,20140101,20151225,20160101,20210101,20121225,20160101,20151225,20021225,20141128,20121115,20181218,20151228,20021226,20121225,20021225,20191231,20151225,20050328,20020701,20140909,20150429,20150429,20021226,20051227,20151225,20070101,20191101,20071220,20150721,20021225,20020527,20150916,20150929,20160325,20130808,20061225,20070101,20030101,20021101,20050505,20200907,20021101,20050103,20030106,20021101,20150612,20041227,20020510,20061225,20140303,20160325,20021225,20160101,20190101,20150101,20150101,20150921,20021225,20181225,20021111,20151228,20210101,20060508,20131225,20150805,20091129,20080804,20160106,20160325,20160325,20160325,20061102,20061208,20040927,20150929,20140602,20021206,20150911,20070101,20021226,20131224,20021226,20160325,20200127,20160325,20220321,20030501,20020916,20061009,20150403,20021226,20021225,20060503,20021225,20151228,20151102,20070101,20021226
20160126,20080320,20030421,20130501,20021226,20050103,20020501,20160101,20200907,20140101,20030102,20060605,20070503,20180822,20020812,20150601,20020629,20151022,20060807,20021225,20060106,20140303,20160101,20160118,20210118,20130101,20160118,20151228,20021226,20141225,20121202,20190101,20160101,20021227,20130101,20021226,20200101,20151228,20050505,20021001,20141001,20150430,20150430,20030101,20060102,20151228,20070102,20191115,20071225,20150817,20021226,20020601,20150924,20151009,20160328,20130809,20061226,20070405,20030418,20021224,20050516,20200916,20021206,20050126,20030421,20021206,20150717,20041228,20020612,20070101,20140304,20160328,20030101,20160118,20190121,20150119,20150119,20150922,20021226,20190101,20021225,20160101,20210118,20060705,20131231,20150827,20091130,20081224,20160328,20160328,20160328,20160328,20061115,20061225,20040928,20151009,20140908,20021225,20150924,20070102,20021231,20131225,20030101,20160328,20200410,20160328,20240320,20031225,20020923,20061010,20150406,20030101,20021226,20060615,20021226,20160101,20151225,20070409,20030101
20160314,20080731,20030430,20130808,20030101,20050104,20020617,20160118,20201012,20140127,20030103,20061023,20070504,20180913,20021023,20150701,20020815,20151112,20060821,20021226,20060414,20140304,20160118,20160215,20210215,20131225,20160215,20160101,20030101,20141226,20130101,20190212,20160126,20030101,20131225,20021231,20200410,20160101,20050516,20021014,20141002,20150501,20150501,20030106,20060414,20160101,20070103,20191225,20071231,20150924,20030101,20020831,20151014,20151225,20160502,20130916,20070101,20070406,20030421,20021225,20050623,20201012,20021225,20050314,20030425,20021224,20150821,20050103,20021107,20070205,20140418,20160425,20030120,20160215,20190218,20150216,20150216,20150923,20030101,20190109,20021226,20160126,20210215,20060706,20140101,20151019,20091201,20081225,20160425,20161226,20160516,20161226,20061120,20070101,20040929,20151225,20141001,20030101,20151110,20070409,20030101,20131226,20030127,20160425,20200413,20160502,20250320,20031226,20021014,20070101,20150501,20030418,20030101,20060815,20030101,20160104,20151231,20070501,20030102
20160325,20080930,20030529,20130809,20030106,20050131,20020709,20160215,20201102,20140418,20030428,20061101,20070507,20180921,20021205,20150730,20020910,20151125,20061016,20030101,20060417,20140418,20160215,20160325,20210531,20140101,20160325,20160126,20030417,20150101,20130124,20190303,20160325,20030317,20140101,20030101,20200413,20160125,20050801,20021225,20141225,20150902,20150902,20030418,20060524,20160126,20070423,20200101,20080101,20151014,20030321,20021104,20151110,20151231,20160530,20131015,20070102,20070501,20030505,20030101,20050815,20201102,20030101,20050325,20030501,20021225,20150831,20050104,20021108,20070319,20140421,20160613,20030217,20160325,20190419,20150403,20150403,20151012,20030417,20190304,20030101,20160307,20210402,20060928,20140120,20151225,20091202,20081226,20160602,20170414,20161003,20170414,20061225,20070406,20050208,20151231,20141002,20030201,20151225,20070430,20030106,20131231,20030418,20160613,20200608,20160509,20260320,20040101,20021104,20070219,20150619,20030519,20030106,20061101,20030102,20160208,20160101,20070607,20030418
20160328,20081001,20030609,20130830,20030310,20050325,20020819,20160325,20201111,20140421,20030501,20061225,20071001,20181002,20021210,20150812,20020930,20151225,20061106,20030418,20060501,20140421,20160325,20160530,20210705,20141225,20160530,20160314,20030418,20150119,20130606,20190604,20160328,20030418,20141225,20030418,20200501,20160210,20050908,20021226,20141226,20160101,20160101,20030421,20060612,20160208,20070830,20200413,20080110,20151209,20030418,20021206,20151224,20160101,20160829,20131105,20070208,20070629,20030526,20030304,20051101,20201111,20030106,20050328,20030602,20021230,20150925,20050325,20021212,20070405,20140501,20161226,20030526,20160530,20190527,20150525,20150525,20151103,20030418,20190305,20030418,20160325,20210531,20061117,20140303,20151228,20091203,20090101,20160629,20170417,20161226,20170417,20061229,20070501,20050209,20160101,20141003,20030203,20160101,20070501,20030418,20140101,20030421,20161226,20201225,20160530,20260921,20040409,20021223,20070220,20150710,20030701,20030421,20061225,20030120,20160325,20160208,20070622,20030421
20160425,20081002,20031225,20131015,20030325,20050328,20021014,20160530,20201126,20140425,20031201,20061226,20071002,20181008,20021230,20151023,20021002,20160126,20061113,20030421,20060508,20140501,20160530,20160704,20210906,20150101,20160704,20160325,20030421,20150403,20130808,20190605,20160425,20030421,20150101,20030421,20200601,20160325,20051226,20030101,20150101,20160208,20160208,20030501,20060803,20160314,20071012,20200501,20080207,20151224,20030421,20021207,20151225,20160208,20161226,20131225,20070409,20070830,20030825,20030418,20051226,20201116,20030417,20050425,20030815,20021231,20151118,20050523,20021213,20070406,20140619,20161227,20030704,20160704,20190704,20150703,20150703,20151123,20030421,20190306,20030421,20160328,20210705,20061225,20140304,20160101,20100907,20090409,20160815,20170501,20170414,20170501,20070101,20070521,20050210,20160208,20141006,20030212,20160208,20070524,20030421,20140106,20030425,20161227,20201228,20160829,20260922,20040412,20021231,20070221,20150928,20030804,20030501,20061226,20030206,20160328,20160209,20070625,20030501
20160613,20081202,20031226,20131016,20030425,20050425,20021106,20160704,20201225,20140609,20031225,20070101,20071003,20181018,20021231,20151207,20021015,20160307,20061208,20030501,20060705,20140619,20160704,20160905,20211125,20151225,20160905,20160328,20030516,20150525,20130810,20190606,20160502,20030505,20151225,20030501,20201224,20160328,20060102,20030131,20150219,20160209,20160209,20030529,20060804,20160325,20071029,20200520,20080307,20151225,20030428,20021225,20160101,20160209,20161227,20140101,20070427,20071008,20031225,20030425,20060414,20201126,20030418,20050613,20031208,20030101,20151119,20050624,20030101,20070501,20141225,20170102,20030901,20160905,20190902,20150907,20150907,20151223,20030501,20190419,20030501,20160425,20210906,20061226,20140418,20160307,20100908,20090410,20161101,20171225,20170417,20171225,20070125,20070702,20050301,20160209,20141007,20030418,20160209,20070525,20030501,20140418,20030609,20170102,20210101,20161226,20260923,20050325,20030101,20070222,20150929,20030901,20030529,20070101,20030418,20160425,20160325,20070815,20030529
