AdB,AeB,AmB,AnB,AtB,AuB,BAB,BbB,BcB,BdB,BeB,BfB,BkB,BkS,BMA,BmB,BmS,BoB,BrB,BtB,BxB,CBT,Ced,ChS,CMF,CnB,CoB,DbB,DEL,DoB,DrB,DuB,Ecl,FrB,GeB,GTB,HaB,HaS,HeB,HKB,HKS,HmB,HoB,IsB,JaB,JaS,JoB,KdQ,KLB,KLS,LaB,LbB,LIF,LmB,LnB,LsB,LxB,MdB,MeB,MiB,MnB,MnS,MoB,MwB,MxB,NBR,Ndq,NSS,NYB,NYM,NYO,NYS,OSA,OsB,PaB,PCB,PeB,PrB,RiB,RJB,RkB,RmB,RTB,SaB,SeB,SeS,ShB,SiB,SiS,SoB,SOF,SOM,SON,SPB,StB,SxB,SyB,SyF,SzB,Tgt,TkB,TpB,TpS,TrB,TYO,ViB,WaB,WeB,WeS,XBR,ZaB,ZuB
20150101,20070101,20020101,20120423,20020101,20040101,20020101,20130101,20020101,20050314,20070101,20180115,20020101,20150101,20150101,20020126,20150126,20060109,20020101,20050106,20130101,20150101,20040101,20150101,20150101,20150101,20020101,20120101,20140101,20180213,20150101,20020101,20040101,20020101,20040101,20150101,20150101,20150101,20020101,20020101,20140101,20050103,20150101,20060110,20070101,20150101,20020101,20150101,20020101,20150101,20130101,20060102,20150101,20060413,20020101,20020101,20040101,20020101,20040101,20020101,20020101,20150101,20040101,20020101,20060206,20130101,20140101,20150101,20020101,20150101,20180101,20140101,20150101,20020101,20020101,20180101,20150101,20050328,20090917,20130101,20080101,20150101,20150101,20060414,20040101,20150101,20140101,20020101,20150101,20060102,20150101,20150101,20150101,20060125,20020101,20130101,20020101,20150101,20150101,20020101,20020101,20060130,20150101,20020101,20150921,20020101,20050328,20020101,20150101,20150101,20060106,20020101
20150126,20070120,20020329,20120501,20020318,20040102,20020204,20130128,20020102,20050315,20070102,20180126,20020226,20150102,20150119,20020223,20150217,20060320,20020329,20050325,20130211,20150119,20061225,20150119,20150119,20150126,20020328,20120204,20140120,20180304,20150126,20020318,20061225,20020329,20040102,20150126,20150102,20150102,20020329,20020212,20140131,20050325,20150126,20060111,20070319,20150219,20020321,20150218,20020201,20150202,20130124,20060208,20150403,20060414,20020329,20020212,20040409,20020107,20040126,20020401,20020225,20150102,20040102,20020102,20060321,20130211,20140120,20150126,20020121,20150119,20180115,20140120,20150102,20020328,20020329,20180109,20150126,20050705,20090919,20130211,20080102,20150106,20150302,20060501,20040121,20150218,20140131,20020212,20150219,20060303,20150403,20150403,20150403,20060227,20020329,20130329,20020128,20150126,20150403,20020329,20020102,20060131,20150102,20020329,20150922,20020401,20050503,20020102,20150102,20150216,20060417,20020102
20150309,20070331,20020401,20120820,20020325,20040126,20020205,20130329,20020501,20050328,20070103,20180213,20020408,20150304,20150216,20020312,20150306,20060413,20020401,20050328,20130212,20150216,20070101,20150216,20150216,20150309,20020329,20120617,20140418,20180617,20150403,20020329,20070101,20020401,20040409,20150218,20150216,20150216,20020401,20020213,20140203,20050524,20150209,20060112,20070406,20150403,20020329,20150219,20020212,20150203,20130201,20060417,20150406,20060501,20020401,20020329,20040412,20020319,20040308,20020425,20020328,20150115,20040409,20020107,20060413,20130212,20140217,20150403,20020218,20150216,20180219,20140217,20150112,20020329,20020401,20180212,20150302,20050706,20090920,20130212,20080320,20150406,20150309,20060612,20040122,20150219,20140203,20020213,20150220,20060424,20150406,20150406,20150406,20060228,20020401,20130401,20020329,20150403,20150406,20020401,20020103,20060201,20150216,20020520,20150923,20020501,20050526,20020121,20150206,20150217,20060501,20020329
20150403,20071013,20020430,20120821,20020503,20040206,20020328,20130401,20020502,20050516,20070219,20180329,20020415,20150406,20150525,20020325,20150402,20060414,20020501,20050705,20130329,20150525,20071225,20150403,20150403,20150403,20020401,20120819,20140526,20180618,20150406,20020401,20071225,20020501,20040412,20150403,20150217,20150217,20020501,20020214,20140418,20050613,20150309,20060113,20070517,20150501,20020401,20150220,20020213,20150219,20130211,20060427,20150504,20060629,20020506,20020425,20040520,20020328,20040409,20020501,20020329,20150116,20040524,20020225,20060414,20130329,20140418,20150406,20020527,20150403,20180330,20140418,20150211,20020401,20020501,20180213,20150403,20050928,20090921,20130329,20080321,20150501,20150403,20060626,20040123,20150220,20140204,20020223,20150403,20060501,20150501,20150501,20150501,20060414,20020501,20130501,20020401,20150406,20150504,20020501,20020114,20060202,20150217,20020701,20160321,20020509,20050815,20020206,20150403,20150403,20060615,20020401
20150406,20071202,20020509,20120830,20020506,20040409,20020329,20130425,20020503,20051031,20070220,20180330,20020416,20150413,20150703,20020329,20150403,20060501,20020509,20050829,20130501,20150703,20080101,20150525,20150525,20150406,20020426,20120820,20140704,20180619,20150504,20020506,20080101,20020509,20040520,20150406,20150218,20150218,20020509,20020329,20140421,20050728,20150403,20060519,20070601,20150514,20020501,20150501,20020223,20150220,20130212,20060501,20150525,20060728,20020603,20020501,20040531,20020329,20040412,20020815,20020408,20150219,20040624,20020308,20060501,20130501,20140526,20150608,20020704,20150525,20180528,20140526,20150429,20020501,20020508,20180214,20150406,20051028,20090922,20130423,20080324,20150602,20150406,20060815,20040301,20150501,20140205,20020329,20150501,20060524,20150525,20150525,20150525,20060421,20020509,20130509,20020425,20150608,20150525,20021225,20020211,20060228,20150218,20020805,20170320,20020520,20051101,20020329,20150406,20150421,20060622,20020501
20150608,20071218,20020520,20121025,20020507,20040412,20020401,20130610,20020506,20051101,20070221,20180402,20020501,20150414,20150907,20020401,20150414,20060529,20020510,20050901,20130530,20150907,20081225,20150703,20150703,20150608,20020509,20120821,20140901,20180820,20150608,20020603,20081225,20020520,20040531,20150518,20150219,20150219,20020621,20020401,20140501,20050729,20150406,20060830,20070817,20150602,20020617,20150505,20020315,20150501,20130501,20060502,20150831,20060830,20020604,20020530,20040623,20020501,20040614,20021101,20020501,20150402,20040701,20020501,20061102,20130530,20140704,20151225,20020902,20150703,20180704,20140704,20150504,20020509,20020509,20180330,20150427,20051117,20090923,20130501,20080424,20150629,20150525,20060918,20040405,20150505,20140206,20020501,20150601,20060906,20151224,20151224,20151224,20060501,20020520,20130520,20020610,20151225,20150831,20021226,20020321,20060405,20150219,20020902,20200320,20020530,20051111,20020401,20150427,20150501,20060815,20020509
20151005,20071219,20021225,20121026,20020624,20040607,20020422,20130814,20021225,20051226,20070222,20180418,20020506,20150415,20151012,20020413,20150501,20060619,20020520,20050915,20131115,20151012,20090101,20150907,20150907,20150803,20020520,20121025,20141104,20180821,20150724,20020805,20090101,20020530,20040909,20150615,20150220,20150220,20021206,20020405,20140506,20050905,20150407,20061023,20071012,20150716,20020809,20150525,20020425,20150504,20130524,20060815,20151225,20061101,20020826,20020610,20041101,20020502,20041102,20021225,20020612,20150403,20040906,20020502,20061120,20131115,20140901,20151228,20021014,20150907,20180903,20140901,20150505,20020517,20020520,20180501,20150601,20051226,20090924,20130530,20080501,20151208,20150629,20060919,20040415,20150525,20140407,20020527,20150717,20060922,20151225,20151225,20151225,20060615,20020621,20130530,20020805,20151228,20151225,20030101,20020429,20060501,20150220,20021014,20200921,20020815,20051226,20020425,20150601,20150604,20061101,20020520
20151225,20071220,20021226,20121029,20020815,20041025,20020423,20131007,20021226,20060315,20070223,20180501,20020527,20150501,20151111,20020425,20150917,20060626,20020815,20051101,20131225,20151111,20091225,20151126,20151126,20150928,20020605,20121027,20141111,20180822,20150803,20021028,20091225,20021003,20041231,20150706,20150223,20150223,20021224,20020501,20140602,20051111,20150608,20061024,20071015,20150717,20020924,20150814,20020501,20150717,20130530,20061031,20151228,20061208,20021225,20020613,20050325,20020515,20041227,20021226,20020715,20150409,20041011,20020503,20061201,20131225,20141127,20160101,20021111,20151126,20181122,20141127,20150506,20020520,20020815,20181105,20150928,20060417,20091126,20131115,20080512,20151225,20150803,20061009,20040505,20150814,20140501,20020809,20150807,20061225,20151231,20151231,20151231,20060907,20021224,20131003,20021007,20160101,20151228,20030418,20020503,20060531,20150223,20021111,20200922,20021101,20060417,20020603,20151026,20150907,20061225,20020801
20151228,20080101,20030101,20130101,20021028,20041227,20020424,20131225,20021231,20060417,20070501,20180616,20020701,20150504,20151126,20020501,20150925,20060703,20021101,20051117,20131231,20151126,20100101,20151225,20151225,20151005,20021224,20121028,20141127,20180823,20151225,20021225,20100101,20021224,20050325,20151109,20150428,20150428,20021225,20020520,20140701,20051226,20151022,20061025,20071016,20150720,20021216,20150928,20020525,20150831,20130531,20061101,20160101,20061225,20021226,20020815,20050328,20020815,20041228,20030101,20021031,20150501,20041111,20020509,20061212,20140101,20141225,20160126,20021128,20151225,20181225,20141225,20150720,20021224,20021101,20181128,20151225,20060501,20091128,20131120,20080617,20160101,20150804,20061101,20040526,20150928,20140502,20021104,20150810,20061226,20160101,20160101,20160101,20061012,20021225,20131101,20021225,20160126,20160101,20030421,20020506,20061006,20150227,20021225,20210920,20021224,20060501,20021028,20151225,20151012,20061226,20021225
20160101,20080110,20030418,20130423,20021225,20041228,20020425,20131226,20030101,20060501,20070502,20180815,20020725,20150505,20151225,20020525,20151002,20060720,20021111,20051226,20140101,20151225,20121225,20160101,20160101,20151225,20021225,20121115,20141128,20181218,20151228,20021226,20121225,20021225,20050328,20151225,20150429,20150429,20021226,20020701,20140909,20051227,20151225,20070101,20071220,20150721,20021225,20150929,20020527,20150916,20130808,20061225,20160325,20070101,20030101,20021101,20050505,20021101,20050103,20030106,20021101,20150612,20041227,20020510,20061225,20140303,20150101,20160325,20021225,20160101,20190101,20150101,20150921,20021225,20021111,20181225,20151228,20060508,20091129,20131225,20080804,20160106,20150805,20061208,20040927,20150929,20140602,20021206,20150911,20070101,20160325,20160325,20160325,20061102,20021226,20131224,20021226,20160325,20160325,20030501,20020916,20061009,20150403,20021226,20220321,20021225,20060503,20021225,20151228,20151102,20070101,20021226
