AmB,AuB,BeB,BkB,BMA,BmB,BxB,CoB,FrB,HeB,HKB,IsB,JaB,JoB,KLB,LnB,LxB,MeB,MoB,MwB,MxB,NBR,NYB,OsB,RiB,RJB,SeB,SiB,SPB,SyB,Tgt,TkB,TpB,TrB,StB,ViB,WeB,ZuB
19990101,20020101,20070101,20020101,20150101,20020312,20130101,19990101,20020101,20020101,19990101,20060110,20070101,20020101,20020101,19990101,19990101,19990101,19990101,20010101,20060206,20130101,19990101,20000420,20090102,20130101,20040101,20000207,20060125,20020101,20000421,19940103,20060130,20020101,19990101,20020101,20020101,20020101
19990402,20020102,20070102,20020226,20150103,20020325,20130211,19990401,20020329,20020329,19990216,20060111,20070319,20020321,20020201,19990402,19990405,19990126,19990402,20010102,20060321,20130211,19990118,20000421,20090109,20130211,20040121,20000316,20060227,20020128,20000424,19940211,20060131,20020329,19990106,20020401,20020102,20020102
19990405,20040101,20070103,20020408,20150104,20020329,20130212,19990402,20020401,20020401,19990217,20060112,20070406,20020329,20020212,19990405,19990513,19990402,19990524,20010307,20060413,20130212,19990215,20000424,20090116,20130212,20040122,20000421,20060228,20020329,20000501,19940321,20060201,20020520,19990402,20020501,20020121,20020329
19990430,20040102,20070219,20020415,20150110,20020401,20130329,19990405,20020501,20020501,19990218,20060113,20070517,20020401,20020213,19990503,19990524,19990405,19990701,20010501,20060414,20130329,19990402,20000501,20090123,20130329,20040123,20000501,20060414,20020401,20001225,19940429,20060202,20020701,19990405,20020509,20020206,20020401
19990513,20040126,20070220,20020416,20150111,20020425,20130501,19990430,20020509,20020509,19990402,20060519,20070601,20020501,20020315,19990531,19990623,19990426,19990802,20010502,20060501,20130501,19990531,20000517,20090130,20130423,20040301,20000518,20060421,20020425,20001226,19940503,20060228,20020805,19990513,20020520,20020329,20020501
19990524,20040206,20070221,20020501,20150117,20020501,20130530,19990513,20020520,20020621,19990405,20060830,20070817,20020617,20020425,19990830,19991101,19990614,19990906,20010509,20061102,20130530,19990705,20000601,20090206,20130501,20040405,20000809,20060501,20020610,20010101,19940504,20060405,20020902,19990524,20020530,20020401,20020509
20000421,20040409,20070222,20020506,20150118,20020815,20131115,19990524,20020530,20021206,19990406,20061023,20071012,20020809,20020501,19991227,20000424,19990802,19991011,20010612,20061120,20131115,19990906,20000612,20090213,20130530,20040415,20001026,20060615,20020805,20010413,19940505,20060501,20021014,19990625,20020815,20020425,20020520
20000424,20040412,20070223,20020527,20150119,20020910,20131225,19990603,20021003,20021224,19990618,20061024,20071220,20020924,20020527,19991228,20000501,19991004,19991111,20011107,20061201,20131225,19991011,20001225,20090220,20130725,20040505,20001127,20060907,20021007,20010416,19940915,20060531,20021111,19991224,20021101,20020603,20020801
20000505,20040607,20070501,20020701,20150124,20020930,20131231,19991224,20021224,20021225,19990701,20061025,20071225,20021216,20021104,19991231,20000601,19991227,19991227,20011212,20061212,20140101,19991111,20001226,20090227,20130726,20040526,20010101,20061012,20021225,20010501,19940923,20061006,20021225,20000106,20021224,20021028,20021225
20000601,20041025,20070502,20020725,20150125,20021002,20140101,20000420,20021225,20021226,19991001,20070101,20071231,20021225,20021206,20000103,20000612,19991228,19991228,20020101,20061225,20140303,19991125,20010101,20090306,20131115,20040927,20010124,20061102,20021226,20011225,19941010,20061009,20021226,20000421,20021225,20021225,20021226
