AmB,AuB,BMA,BmB,FrB,HeB,HKB,IsB,JaB,JoB,LnB,LxB,MeB,MoB,MxB,NYB,RiB,SiB,SPB,SyB,Tgt,TkB,TrB,WeB,ZuB,BxB,RJB,SPB,BeB,MwB,SeB,TpB,KLB,BkB,NBR,ViB
19990101,20020101,20150101,20020312,20020101,20020101,19990101,20060110,20070101,20020101,19990101,19990101,19990101,19990101,20060206,19990101,20090102,20000207,20060125,20020101,20000421,19940103,20020101,20020101,20020101,20130101,20130101,20060125,20070101,20010101,20040101,20060130,20020101,20020101,20130101,20020101
19990402,20020102,20150103,20020325,20020329,20020329,19990216,20060111,20070319,20020321,19990402,19990405,19990126,19990402,20060321,19990118,20090109,20000316,20060227,20020128,20000424,19940211,20020329,20020102,20020102,20130211,20130211,20060227,20070102,20010102,20040121,20060131,20020201,20020226,20130211,20020401
19990405,20040101,20150104,20020329,20020401,20020401,19990217,20060112,20070406,20020329,19990405,19990513,19990402,19990524,20060413,19990215,20090116,20000421,20060228,20020329,20000501,19940321,20020520,20020121,20020329,20130212,20130212,20060228,20070103,20010307,20040122,20060201,20020212,20020408,20130212,20020501
19990430,20040102,20150110,20020401,20020501,20020501,19990218,20060113,20070517,20020401,19990503,19990524,19990405,19990701,20060414,19990402,20090123,20000501,20060414,20020401,20001225,19940429,20020701,20020206,20020401,20130329,20130329,20060414,20070219,20010501,20040123,20060202,20020213,20020415,20130329,20020509
19990513,20040126,20150111,20020425,20020509,20020509,19990402,20060519,20070601,20020501,19990531,19990623,19990426,19990802,20060501,19990531,20090130,20000518,20060421,20020425,20001226,19940503,20020805,20020329,20020501,20130501,20130423,20060421,20070220,20010502,20040301,20060228,20020315,20020416,20130501,20020520
19990524,20040206,20150117,20020501,20020520,20020621,19990405,20060830,20070817,20020617,19990830,19991101,19990614,19990906,20061102,19990705,20090206,20000809,20060501,20020610,20010101,19940504,20020902,20020401,20020509,20130530,20130501,20060501,20070221,20010509,20040405,20060405,20020425,20020501,20130530,20020530
20000421,20040409,20150118,20020815,20020530,20021206,19990406,20061023,20071012,20020809,19991227,20000424,19990802,19991011,20061120,19990906,20090213,20001026,20060615,20020805,20010413,19940505,20021014,20020425,20020520,20131115,20130530,20060615,20070222,20010612,20040415,20060501,20020501,20020506,20131115,20020815
20000424,20040412,20150119,20020910,20021003,20021224,19990618,20061024,20071220,20020924,19991228,20000501,19991004,19991111,20061201,19991011,20090220,20001127,20060907,20021007,20010416,19940915,20021111,20020603,20020801,20131225,20130725,20060907,20070223,20011107,20040505,20060531,20020527,20020527,20131225,20021101
20000505,20040607,20150124,20020930,20021224,20021225,19990701,20061025,20071225,20021216,19991231,20000601,19991227,19991227,20061212,19991111,20090227,20010101,20061012,20021225,20010501,19940923,20021225,20021028,20021225,20131231,20130726,20061012,20070501,20011212,20040526,20061006,20021104,20020701,20140101,20021224
20000601,20041025,20150125,20021002,20021225,20021226,19991001,20070101,20071231,20021225,20000103,20000612,19991228,19991228,20061225,19991125,20090306,20010124,20061102,20021226,20011225,19941010,20021226,20021225,20021226,20140101,20131115,20061102,20070502,20020101,20040927,20061009,20021206,20020725,20140303,20021225
20000612,20041227,20150131,20021015,20021226,20030101,19991018,20070102,20080101,20021226,20000421,20000623,20000103,20000103,20070101,19991224,20090313,20010125,20061115,20030101,20011226,19941103,20030101,20021226,20030101,20140303,20131120,20061115,20070503,20020102,20040928,20061010,20021225,20020812,20140304,20021226
20001225,20041228,20150201,20021104,20021231,20030106,19991227,20070103,20080110,20030101,20000424,20000815,20000106,20000421,20070205,20000117,20090320,20010306,20061120,20030127,20011231,19941123,20030418,20030101,20030102,20140304,20131225,20061120,20070504,20020107,20040929,20070101,20030101,20021023,20140418,20030101
20001226,20050103,20150207,20021119,20030101,20030418,19991231,20070423,20080207,20030321,20000501,20001101,20000126,20000522,20070319,20000221,20090327,20010413,20061225,20030418,20020101,19941223,20030519,20030102,20030418,20140418,20131231,20061225,20070507,20020225,20050208,20070219,20030203,20021205,20140421,20030106
20010101,20050104,20150208,20021225,20030418,20030421,20000204,20070830,20080307,20030418,20000529,20001225,20000421,20000703,20070405,20000421,20090403,20010501,20061229,20030421,20020329,19950102,20030701,20030120,20030421,20140421,20140101,20061229,20071001,20020308,20050209,20070220,20030204,20021210,20140501,20030421
20010413,20050131,20150214,20030213,20030421,20030501,20000207,20071012,20080320,20030421,20000828,20001226,20000424,20000807,20070406,20000529,20090410,20010507,20070101,20030425,20020401,19950103,20030804,20030206,20030501,20140501,20140120,20070101,20071002,20020501,20050210,20070221,20030212,20021230,20140619,20030501
20010416,20050325,20150215,20030314,20030501,20030529,20000404,20071029,20080321,20030428,20001225,20010101,20000425,20000904,20070501,20000704,20090417,20010809,20070125,20030609,20020501,19950116,20030901,20030418,20030529,20140619,20140303,20070125,20071003,20020502,20050301,20070222,20030304,20021231,20141225,20030529
20010430,20050328,20150216,20030318,20030529,20030620,20000421,20071220,20080501,20030501,20001226,20010413,20000501,20001009,20071102,20000904,20090424,20011114,20070219,20030804,20021225,19950321,20031013,20030421,20030609,20141225,20140304,20070219,20071004,20020503,20050405,20070223,20030501,20030101,20150101,20030609
20010524,20050425,20150221,20030401,20030609,20031224,20000424,20071221,20080520,20030616,20010101,20010416,20000601,20001225,20071119,20001009,20090501,20011225,20070220,20031006,20021226,19950503,20031111,20030425,20030801,20141231,20140418,20070220,20071005,20020509,20050505,20070228,20030514,20030217,20150216,20030619
20010604,20050606,20150222,20030402,20030619,20031225,20000501,20080101,20080730,20030924,20010413,20010501,20000612,20001226,20071212,20001123,20090508,20020101,20070406,20031225,20030101,19950504,20031225,20030602,20031225,20150101,20140421,20070406,20071231,20020510,20050606,20070405,20030515,20030407,20150217,20030815
20011225,20051024,20150228,20030411,20031003,20031226,20000511,20080423,20080818,20031216,20010416,20010524,20000622,20010101,20071225,20001225,20090515,20020212,20070501,20031226,20030418,19950505,20031226,20031027,20031226,20150216,20140423,20070501,20080101,20020612,20050815,20070406,20030901,20030414,20150403,20031208
20011226,20051226,20150301,20030414,20031224,20040101,20000606,20080519,20080930,20031225,20010507,20010604,20000807,20010413,20080101,20010101,20090522,20020213,20070607,20040101,20030421,19950915,20040101,20031225,20040101,20150217,20140501,20070607,20080206,20021107,20050919,20070501,20031024,20030415,20150421,20031224
20020101,20051227,20150307,20030415,20031225,20040106,20000913,20080930,20081001,20031226,20010528,20010815,20000815,20010521,20080204,20010115,20090529,20020329,20070709,20040126,20030501,19951010,20040409,20031226,20040102,20150403,20140619,20070709,20080207,20021108,20051003,20070618,20031125,20030501,20150501,20031225
20020329,20060102,20150308,20030418,20031226,20040409,20001002,20081001,20081002,20040101,20010827,20011101,20001002,20010702,20080317,20010219,20090605,20020501,20070907,20040409,20031225,19951103,20040524,20040101,20040409,20150421,20140625,20070907,20080208,20021212,20060130,20070619,20031126,20030505,20150604,20031226
20020401,20060103,20150314,20030501,20031231,20040412,20001006,20081002,20081003,20040322,20011225,20011225,20001026,20010806,20080320,20010413,20090612,20020527,20071012,20040412,20031226,19951123,20040701,20040102,20040412,20150501,20140704,20071012,20080211,20021213,20060301,20070918,20031225,20030515,20150907,20040101
20020430,20060130,20150315,20030515,20040101,20040520,20001225,20081029,20081208,20040409,20011226,20011226,20001101,20010903,20080321,20010528,20090619,20020809,20071102,20040426,20040101,19960101,20040802,20040119,20040520,20150604,20141120,20071102,20080212,20030101,20060501,20070924,20040101,20030701,20151012,20040106
20020509,20060206,20150321,20030516,20040409,20040625,20001226,20081208,20081225,20040412,20020101,20020101,20001208,20011008,20080501,20010704,20090626,20021104,20071115,20040614,20040409,19960102,20040906,20040206,20040531,20150907,20141225,20071115,20080404,20030102,20060505,20070925,20040122,20030714,20151102,20040412
20020520,20060414,20150322,20030630,20040412,20041206,20010101,20081209,20081229,20040414,20020329,20040101,20001225,20011225,20080916,20010903,20090703,20021206,20071120,20040802,20040412,19960103,20041011,20040409,20050325,20151012,20141231,20071120,20080501,20030103,20060531,20071010,20040123,20030812,20151225,20040520
20021225,20060417,20150328,20030815,20040520,20041224,20010124,20081210,20090101,20040427,20020401,20040409,20001226,20011226,20081117,20011112,20090710,20021225,20071225,20041004,20050325,19960115,20041111,20040412,20050328,20151102,20150101,20071225,20080502,20030106,20060606,20080101,20040202,20031023,20160101,20040531
20021226,20060425,20150329,20030930,20040531,20050106,20010125,20081211,20090102,20040616,20020506,20040412,20001229,20020101,20081212,20011122,20090717,20030101,20071231,20041227,20050328,19960212,20041227,20040607,20050505,20151130,20150120,20071231,20080609,20030107,20060717,20080206,20040203,20031205,20160208,20040610
20030101,20060605,20150404,20031002,20040610,20050325,20010126,20090101,20090126,20040809,20020603,20040520,20010101,20040101,20081225,20011225,20090724,20030203,20080101,20041228,20051226,19960320,20041228,20041025,20050516,20151225,20150216,20080101,20080915,20030224,20060815,20080207,20040223,20031210,20160209,20041026
20030418,20061023,20150405,20031126,20041224,20050328,20010405,20090423,20090309,20040924,20020604,20040531,20010126,20040102,20090101,20020101,20090731,20030212,20080125,20050103,20060414,19960429,20050103,20041227,20050801,20151231,20150217,20080125,20080929,20030310,20061003,20080208,20040503,20031231,20160325,20041101
